,date,USD,CNY,EUR
0,2000-01-01,27.0,3.261,27.2
1,2000-01-02,28.55,3.4490000000000003,27.98
2,2000-01-03,28.65,3.4619999999999997,27.75
3,2000-01-04,28.6,3.438,27.4
4,2000-01-05,,3.434,
5,2000-01-06,28.23,3.4130000000000003,26.27
6,2000-01-07,28.05,3.3909999999999996,26.72
7,2000-01-08,27.82,3.3579999999999997,25.67
8,2000-01-09,27.75,3.351,24.81
9,2000-01-10,,3.3520000000000003,
10,2000-01-11,27.82,3.3619999999999997,23.35
11,2000-01-12,27.89,3.364,23.97
12,2000-01-13,28.85,,29.85
13,2000-01-14,28.65,,29.48
14,2000-01-15,28.57,,29.29
15,2000-01-16,,,
16,2000-01-17,,,
17,2000-01-18,28.57,,28.92
18,2000-01-19,28.57,,28.84
19,2000-01-20,28.52,,28.94
20,2000-01-21,28.51,,28.84
21,2000-01-22,28.44,,28.93
22,2000-01-23,,,
23,2000-01-24,,,
24,2000-01-25,28.44,,28.51
25,2000-01-26,28.49,,28.72
26,2000-01-27,28.55,,28.6
27,2000-01-28,28.55,,28.56
28,2000-01-29,28.55,,28.23
29,2000-01-30,,,
30,2000-01-31,,,
31,2000-02-01,,,
32,2000-02-02,28.55,,27.89
33,2000-02-03,28.64,,27.76
34,2000-02-04,,,
35,2000-02-05,,,
36,2000-02-06,28.25,,26.45
37,2000-02-07,,,
38,2000-02-08,27.85,,25.83
39,2000-02-09,27.75,,24.65
40,2000-02-10,,,
41,2000-02-11,27.86,,23.7
42,2000-02-12,27.89,,24.41
43,2000-02-13,,,
44,2000-02-14,,,
45,2000-02-15,28.77,,28.45
46,2000-02-16,28.72,,28.12
47,2000-02-17,28.71,,28.18
48,2000-02-18,28.79,,28.39
49,2000-02-19,28.74,,28.44
50,2000-02-20,,,
51,2000-02-21,,,
52,2000-02-22,28.74,,28.35
53,2000-02-23,28.87,,28.67
54,2000-02-24,28.83,,29.01
55,2000-02-25,28.8,,28.87
56,2000-02-26,28.7,,28.46
57,2000-02-27,,,
58,2000-02-28,,,
59,2000-02-29,28.66,,27.44
60,2000-03-01,,,
61,2000-03-02,28.64,,27.81
62,2000-03-03,28.6,,27.9
63,2000-03-04,,,
64,2000-03-05,,,
65,2000-03-06,28.34,,26.37
66,2000-03-07,,,
67,2000-03-08,27.83,,25.49
68,2000-03-09,,,
69,2000-03-10,27.76,,24.47
70,2000-03-11,27.84,,23.95
71,2000-03-12,,,
72,2000-03-13,,,
73,2000-03-14,28.5,,27.51
74,2000-03-15,28.49,,27.48
75,2000-03-16,28.46,,27.52
76,2000-03-17,28.43,,27.57
77,2000-03-18,28.41,,27.58
78,2000-03-19,,,
79,2000-03-20,,,
80,2000-03-21,28.39,,27.57
81,2000-03-22,28.38,,27.59
82,2000-03-23,28.36,,27.25
83,2000-03-24,28.34,,27.26
84,2000-03-25,28.33,,27.54
85,2000-03-26,,,
86,2000-03-27,,,
87,2000-03-28,28.31,,27.69
88,2000-03-29,28.29,,27.37
89,2000-03-30,28.27,,27.08
90,2000-03-31,28.46,,27.13
91,2000-04-01,,,
92,2000-04-02,28.77,,28.0
93,2000-04-03,28.59,,27.61
94,2000-04-04,28.78,,27.43
95,2000-04-05,28.38,,25.77
96,2000-04-06,,,
97,2000-04-07,28.03,,26.72
98,2000-04-08,27.8,,25.48
99,2000-04-09,,,
100,2000-04-10,27.76,,24.36
101,2000-04-11,27.81,,23.92
102,2000-04-12,,,
103,2000-04-13,28.56,,27.39
104,2000-04-14,28.53,,27.32
105,2000-04-15,28.5,,27.17
106,2000-04-16,,,
107,2000-04-17,,,
108,2000-04-18,28.6,,27.59
109,2000-04-19,28.78,,27.28
110,2000-04-20,28.62,,27.07
111,2000-04-21,28.59,,26.9
112,2000-04-22,28.55,,26.8
113,2000-04-23,,,
114,2000-04-24,,,
115,2000-04-25,28.53,,26.8
116,2000-04-26,28.53,,26.78
117,2000-04-27,28.46,,26.15
118,2000-04-28,28.43,,26.2
119,2000-04-29,28.4,,25.89
120,2000-04-30,,,
121,2000-05-01,,,
122,2000-05-02,28.77,,28.49
123,2000-05-03,,,
124,2000-05-04,28.76,,27.5
125,2000-05-05,28.36,,25.31
126,2000-05-06,,,
127,2000-05-07,28.03,,26.56
128,2000-05-08,27.77,,25.12
129,2000-05-09,27.75,,25.0
130,2000-05-10,27.81,,24.38
131,2000-05-11,27.81,,24.14
132,2000-05-12,27.91,,24.51
133,2000-05-13,28.3,,25.55
134,2000-05-14,,,
135,2000-05-15,,,
136,2000-05-16,28.28,,25.94
137,2000-05-17,28.27,,25.71
138,2000-05-18,28.27,,25.49
139,2000-05-19,28.33,,25.34
140,2000-05-20,28.31,,25.3
141,2000-05-21,,,
142,2000-05-22,,,
143,2000-05-23,28.3,,25.38
144,2000-05-24,28.29,,25.59
145,2000-05-25,28.28,,25.61
146,2000-05-26,28.28,,25.44
147,2000-05-27,28.27,,25.79
148,2000-05-28,,,
149,2000-05-29,,,
150,2000-05-30,28.27,,26.31
151,2000-05-31,28.25,,26.19
152,2000-06-01,26.9,,27.92
153,2000-06-02,,,
154,2000-06-03,,,
155,2000-06-04,28.72,,27.66
156,2000-06-05,28.36,,25.27
157,2000-06-06,28.34,,26.75
158,2000-06-07,28.03,,26.66
159,2000-06-08,,,
160,2000-06-09,27.84,,24.94
161,2000-06-10,27.86,,24.35
162,2000-06-11,,,
163,2000-06-12,27.95,,24.78
164,2000-06-13,,,
165,2000-06-14,28.43,,27.1
166,2000-06-15,28.33,,27.3
167,2000-06-16,28.29,,27.1
168,2000-06-17,28.26,,26.94
169,2000-06-18,,,
170,2000-06-19,,,
171,2000-06-20,28.24,,27.31
172,2000-06-21,28.23,,27.04
173,2000-06-22,28.22,,26.82
174,2000-06-23,28.19,,26.68
175,2000-06-24,28.17,,26.38
176,2000-06-25,,,
177,2000-06-26,,,
178,2000-06-27,28.13,,26.34
179,2000-06-28,28.11,,26.38
180,2000-06-29,28.09,,26.57
181,2000-06-30,28.07,,26.48
182,2000-07-01,27.23,,28.21
183,2000-07-02,,,
184,2000-07-03,28.58,,27.37
185,2000-07-04,28.68,,27.57
186,2000-07-05,28.36,,25.41
187,2000-07-06,28.32,,26.83
188,2000-07-07,28.01,,26.71
189,2000-07-08,,,
190,2000-07-09,27.88,,24.73
191,2000-07-10,27.88,,24.26
192,2000-07-11,,,
193,2000-07-12,27.93,,24.56
194,2000-07-13,27.9,,26.5
195,2000-07-14,27.87,,26.22
196,2000-07-15,27.85,,26.03
197,2000-07-16,,,
198,2000-07-17,,,
199,2000-07-18,27.83,,26.11
